continents,id,O_1
Africa,Algeria,2
Africa,Angola,1
Africa,Benin,0
Africa,Botswana,0
Africa,Burkina Faso,0
Africa,Burundi,0
Africa,Cameroon,1
Africa,Cape Verde,0
Africa,Central African Republic,0
Africa,Chad,0
Africa,Comoros,0
Africa,Congo Kinshasa,0
Africa,Congo Brazzaville,0
Africa,Cote d'Ivoire ,2
Africa,Djibouti,0
Africa,Egypt,5
Africa,Equatorial Guinea,0
Africa,Eritrea,0
Africa,Ethiopia,0
Africa,Gabon,0
Africa,Gambia,0
Africa,Ghana,1
Africa,Guinea,0
Africa,Guinea-Bissau,0
Africa,Kenya,2
Africa,Lesotho,0
Africa,Liberia,0
Africa,Libya,0
Africa,Madagascar,0
Africa,Malawi,0
Africa,Mali,1
Africa,Mauritania,1
Africa,Mauritius,0
Africa,Morocco,1
Africa,Mozambique,0
Africa,Namibia,0
Africa,Niger,0
Africa,Nigeria,5
Africa,Rwanda,0
Africa,Sao Tome and Principe,0
Africa,Senegal,2
Africa,Seychelles,0
Africa,Sierra Leone,1
Africa,Somalia,0
Africa,South Africa,42
Africa,Sudan,4
Africa,Swaziland,0
Africa,Tanzania,0
Africa,Togo,0
Africa,Tunisia,1
Africa,Uganda,0
Africa,Zambia,0
Africa,Zimbabwe,1
Asia,Afghanistan,0
Asia,Bahrain,1
Asia,Bangladesh,2
Asia,Bhutan,0
Asia,Brunei,0
Asia,Burma,0
Asia,Cambodia,0
Asia,China,69
Asia,Taiwan,4
Asia,Hong Kong,1
Asia,India,63
Asia,Indonesia,2
Asia,Iran,3
Asia,Iraq,7
Asia,Israel,45
Asia,Japan,139
Asia,Jordan,4
Asia,North Korea,0
Asia,South Korea,39
Asia,Kuwait,0
Asia,Laos,0
Asia,Lebanon,14
Asia,Malaysia,2
Asia,Maldives,0
Asia,Mongolia,1
Asia,Nepal,0
Asia,Oman,0
Asia,Pakistan,15
Asia,Palestinian ,0
Asia,Philippines,17
Asia,Qatar,0
Asia,Saudi Arabia,3
Asia,Singapore,1
Asia,Sri Lanka,3
Asia,Syria,4
Asia,Thailand,11
Asia,United Arab Emirates,0
Asia,Vietnam,0
Asia,Yemen,0
Europe,Albania,2
Europe,Andorra,0
Europe,Armenia,2
Europe,Austria,61
Europe,Azerbaijan,2
Europe,Belarus,2
Europe,Belgium,27
Europe,Bosnia and Herzegovina,0
Europe,Bulgaria,15
Europe,Croatia,7
Europe,Cyprus,2
Europe,Czech Republic,13
Europe,Denmark,35
Europe,Estonia,0
Europe,Finland,27
Europe,France,193
Europe,Georgia,3
Europe,Germany,220
Europe,Great Britain and Northern Ireland,843
Europe,Greece,22
Europe,Hungary,17
Europe,Iceland,9
Europe,Ireland,54
Europe,Italy,177
Europe,Kazakhstan,2
Europe,Kyrgyzstan,0
Europe,Latvia,1
Europe,Liechtenstein,0
Europe,Lithuania,1
Europe,Luxembourg,0
Europe,Macedonia,2
Europe,Malta,1
Europe,Moldova,1
Europe,Monaco,0
Europe,Netherlands,57
Europe,Norway,14
Europe,Poland,40
Europe,Portugal,9
Europe,Romania,11
Europe,Russia,182
Europe,San Marino,0
Europe,Serbia and Montenegro,9
Europe,Slovakia,8
Europe,Slovenia,2
Europe,Spain,85
Europe,Sweden,47
Europe,Switzerland,52
Europe,Tajikistan,0
Europe,Turkey,9
Europe,Turkmenistan,0
Europe,Ukraine,18
Europe,Uzbekistan,1
Europe,Vatican City,0
NorthAmerica,Antigua and Barbuda,0
NorthAmerica,"Bahamas, The",1
NorthAmerica,Barbados,1
NorthAmerica,Belize,0
NorthAmerica,Canada,11
NorthAmerica,Costa Rica,0
NorthAmerica,Cuba,10
NorthAmerica,Dominica,0
NorthAmerica,Dominican Republic,8
NorthAmerica,El Salvador,2
NorthAmerica,Grenada,1
NorthAmerica,Guatemala,2
NorthAmerica,Haiti,1
NorthAmerica,Honduras,1
NorthAmerica,Jamaica,12
NorthAmerica,Mexico,82
NorthAmerica,Nicaragua,0
NorthAmerica,Panama,3
NorthAmerica,Saint Kitts and Nevis,0
NorthAmerica,Saint Lucia,0
NorthAmerica,Saint Vincent and the Grenadines,0
NorthAmerica,Trinidad and Tobago,0
Oceania,Australia,162
Oceania,Fiji,0
Oceania,Kiribati,0
Oceania,Marshall Islands,0
Oceania,"Micronesia, Federated States of",0
Oceania,Nauru,0
Oceania,New Zealand,31
Oceania,Palau,0
Oceania,Papua New Guinea,0
Oceania,Samoa,0
Oceania,Solomon Islands,0
Oceania,Tonga,0
Oceania,Tuvalu,0
Oceania,Vanuatu,0
SouthAmerica,Argentina,40
SouthAmerica,Bolivia,0
SouthAmerica,Brazil,92
SouthAmerica,Chile,14
SouthAmerica,Colombia,14
SouthAmerica,Ecuador,1
SouthAmerica,Guyana,0
SouthAmerica,Paraguay,0
SouthAmerica,Peru,9
SouthAmerica,Suriname,0
SouthAmerica,Uruguay,1
SouthAmerica,Venezuela,30
