continents,id,O_1
Africa,Algeria,1
Africa,Angola,0
Africa,Benin,0
Africa,Botswana,1
Africa,Burkina Faso,3
Africa,Burundi,0
Africa,Cameroon,5
Africa,Cape Verde,0
Africa,Central African Republic,0
Africa,Chad,0
Africa,Comoros,0
Africa,Congo (Congo Kinshasa),0
Africa,Congo (Congo Brazzaville),0
Africa,Cote d'Ivoire ,0
Africa,Djibouti,0
Africa,Egypt,25
Africa,Equatorial Guinea,0
Africa,Eritrea,0
Africa,Ethiopia,1
Africa,Gabon,0
Africa,Gambia,0
Africa,Ghana,4
Africa,Guinea,0
Africa,Guinea-Bissau,0
Africa,Kenya,0
Africa,Lesotho,0
Africa,Liberia,0
Africa,Libya,0
Africa,Madagascar,0
Africa,Malawi,0
Africa,Mali,2
Africa,Mauritania,2
Africa,Mauritius,0
Africa,Morocco,4
Africa,Mozambique,0
Africa,Namibia,0
Africa,Niger,0
Africa,Nigeria,9
Africa,Rwanda,0
Africa,Sao Tome and Principe,0
Africa,Senegal,2
Africa,Seychelles,0
Africa,Sierra Leone,0
Africa,Somalia,1
Africa,South Africa,57
Africa,Sudan,1
Africa,Swaziland,0
Africa,Tanzania,0
Africa,Togo,0
Africa,Tunisia,0
Africa,Uganda,2
Africa,Zambia,0
Africa,Zimbabwe,0
Asia,Afghanistan,0
Asia,Bahrain,0
Asia,Bangladesh,4
Asia,Bhutan,0
Asia,Brunei,0
Asia,Burma,0
Asia,Cambodia,0
Asia,China,227
Asia,China,25
Asia,Hong Kong,4
Asia,India,255
Asia,Indonesia,6
Asia,Iran,18
Asia,Iraq,9
Asia,Israel,127
Asia,Japan,216
Asia,Jordan,16
Asia,North Korea,0
Asia,South Korea,77
Asia,Kuwait,1
Asia,Laos,0
Asia,Lebanon,24
Asia,Macau,0
Asia,Malaysia,3
Asia,Maldives,0
Asia,Mongolia,6
Asia,Nepal,3
Asia,Oman,0
Asia,Pakistan,77
Asia,Palestinian Authority Travel Document,0
Asia,Philippines,62
Asia,Qatar,0
Asia,Saudi Arabia,1
Asia,Singapore,12
Asia,Sri Lanka,5
Asia,Syria,20
Asia,Thailand,13
Asia,Timor-Leste,0
Asia,United Arab Emirates,1
Asia,Vietnam,0
Asia,Yemen,1
Europe,Albania,2
Europe,Andorra,0
Europe,Armenia,6
Europe,Austria,96
Europe,Azerbaijan,3
Europe,Belarus,11
Europe,Belgium,37
Europe,Bosnia and Herzegovina,0
Europe,Bulgaria,33
Europe,Croatia,11
Europe,Cyprus,13
Europe,Czech Republic,19
Europe,Denmark,67
Europe,Estonia,1
Europe,Finland,33
Europe,France,359
Europe,Georgia,8
Europe,Germany,423
Europe,Great Britain and Northern Ireland,1371
Europe,Greece,65
Europe,Hungary,29
Europe,Iceland,13
Europe,Ireland,76
Europe,Italy,280
Europe,Kazakhstan,5
Europe,Kyrgyzstan,0
Europe,Latvia,6
Europe,Liechtenstein,0
Europe,Lithuania,6
Europe,Luxembourg,1
Europe,Macedonia,3
Europe,Malta,1
Europe,Moldova,1
Europe,Monaco,1
Europe,Netherlands,105
Europe,Norway,40
Europe,Poland,96
Europe,Portugal,13
Europe,Romania,25
Europe,Russia,195
Europe,San Marino,0
Europe,Serbia and Montenegro,18
Europe,Slovakia,16
Europe,Slovenia,10
Europe,Spain,133
Europe,Sweden,89
Europe,Switzerland,91
Europe,Tajikistan,0
Europe,Turkey,50
Europe,Turkmenistan,0
Europe,Ukraine,25
Europe,Uzbekistan,0
Europe,Vatican City,0
NorthAmerica,Antigua and Barbuda,0
NorthAmerica,Bahamas,2
NorthAmerica,Barbados,2
NorthAmerica,Belize,1
NorthAmerica,Canada,15
NorthAmerica,Costa Rica,10
NorthAmerica,Cuba,14
NorthAmerica,Dominica,1
NorthAmerica,Dominican Republic,11
NorthAmerica,El Salvador,3
NorthAmerica,Grenada,0
NorthAmerica,Guatemala,6
NorthAmerica,Haiti,2
NorthAmerica,Honduras,1
NorthAmerica,Jamaica,23
NorthAmerica,Mexico,219
NorthAmerica,Nicaragua,1
NorthAmerica,Panama,12
NorthAmerica,Saint Kitts and Nevis,0
NorthAmerica,Saint Lucia,0
NorthAmerica,Saint Vincent and the Grenadines,0
NorthAmerica,Trinidad and Tobago,8
Oceania,Australia,267
Oceania,Fiji,0
Oceania,Kiribati,0
Oceania,Marshall Islands,0
Oceania,Micronesia,0
Oceania,Nauru,0
Oceania,New Zealand,58
Oceania,Palau,0
Oceania,Papua New Guinea,0
Oceania,Samoa,0
Oceania,Solomon Islands,0
Oceania,Tonga,0
Oceania,Tuvalu,0
Oceania,Vanuatu,0
SouthAmerica,Argentina,131
SouthAmerica,Bolivia,3
SouthAmerica,Brazil,229
SouthAmerica,Chile,29
SouthAmerica,Colombia,58
SouthAmerica,Ecuador,5
SouthAmerica,Guyana,0
SouthAmerica,Paraguay,3
SouthAmerica,Peru,36
SouthAmerica,Suriname,1
SouthAmerica,Uruguay,12
SouthAmerica,Venezuela,83
